"YR","PROGRAM","LOC","STATE","ID","REP","BLOCK","ROW","COL","PLOT","Trait","Measurement"
2014,"University of Nebraska","Clay Center"," NE","14_83",1,4,4,37,2034,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","14_83",1,4,4,37,2034,"HT",88
2014,"University of Nebraska","Clay Center"," NE","14_88",1,4,4,43,2040,"YLD",4432
2014,"University of Nebraska","Clay Center"," NE","14_88",1,4,4,43,2040,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","14_88",1,4,4,43,2040,"HT",82
2014,"University of Nebraska","Clay Center"," NE","15_18",1,9,9,36,2083,"YLD",3470
2014,"University of Nebraska","Clay Center"," NE","15_18",1,9,9,36,2083,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","15_18",1,9,9,36,2083,"HT",82
2014,"University of Nebraska","Clay Center"," NE","15_44",1,9,9,37,2084,"YLD",2892
2014,"University of Nebraska","Clay Center"," NE","15_44",1,9,9,37,2084,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","15_44",1,9,9,37,2084,"HT",80
2014,"University of Nebraska","Clay Center"," NE","4_12",1,16,16,38,2155,"YLD",3430
2014,"University of Nebraska","Clay Center"," NE","4_12",1,16,16,38,2155,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","4_12",1,16,16,38,2155,"HT",78
2014,"University of Nebraska","Clay Center"," NE","4_19",1,16,16,39,2156,"YLD",3262
2014,"University of Nebraska","Clay Center"," NE","4_19",1,16,16,39,2156,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","4_19",1,16,16,39,2156,"HT",76
2014,"University of Nebraska","Clay Center"," NE","7_101",1,12,12,42,2119,"YLD",4398
2014,"University of Nebraska","Clay Center"," NE","7_101",1,12,12,42,2119,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","7_101",1,12,12,42,2119,"HT",84
2014,"University of Nebraska","Clay Center"," NE","7_105",1,12,12,37,2114,"YLD",4048
2014,"University of Nebraska","Clay Center"," NE","7_105",1,12,12,37,2114,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","7_105",1,12,12,37,2114,"HT",80
2014,"University of Nebraska","Clay Center"," NE","7_11",1,12,12,35,2112,"YLD",4506
2014,"University of Nebraska","Clay Center"," NE","7_11",1,12,12,35,2112,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","7_11",1,12,12,35,2112,"HT",84
2014,"University of Nebraska","Clay Center"," NE","7_140",1,12,12,39,2116,"YLD",4237
2014,"University of Nebraska","Clay Center"," NE","7_140",1,12,12,39,2116,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","7_140",1,12,12,39,2116,"HT",80
2014,"University of Nebraska","Clay Center"," NE","7_29",1,12,12,38,2115,"YLD",4042
2014,"University of Nebraska","Clay Center"," NE","7_29",1,12,12,38,2115,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","7_29",1,12,12,38,2115,"HT",90
2014,"University of Nebraska","Clay Center"," NE","7_45",1,12,12,40,2117,"YLD",3874
2014,"University of Nebraska","Clay Center"," NE","7_45",1,12,12,40,2117,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","7_45",1,12,12,40,2117,"HT",78
2014,"University of Nebraska","Clay Center"," NE","7_55",1,12,12,36,2113,"YLD",4311
2014,"University of Nebraska","Clay Center"," NE","7_55",1,12,12,36,2113,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","7_55",1,12,12,36,2113,"HT",90
2014,"University of Nebraska","Clay Center"," NE","7_61",1,12,12,41,2118,"YLD",4089
2014,"University of Nebraska","Clay Center"," NE","7_61",1,12,12,41,2118,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","7_61",1,12,12,41,2118,"HT",78
2014,"University of Nebraska","Clay Center"," NE","7_86",1,12,12,43,2120,"YLD",3477
2014,"University of Nebraska","Clay Center"," NE","7_86",1,12,12,43,2120,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","7_86",1,12,12,43,2120,"HT",76
2014,"University of Nebraska","Clay Center"," NE","7_9",1,12,12,34,2111,"YLD",3282
2014,"University of Nebraska","Clay Center"," NE","7_9",1,12,12,34,2111,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","7_9",1,12,12,34,2111,"HT",84
2014,"University of Nebraska","Clay Center"," NE","CO11D1111",1,18,18,41,2178,"YLD",3658
2014,"University of Nebraska","Clay Center"," NE","CO11D1111",1,18,18,41,2178,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","CO11D1111",1,18,18,41,2178,"HT",80
2014,"University of Nebraska","Clay Center"," NE","CO11D1119",1,18,18,39,2176,"YLD",3268
2014,"University of Nebraska","Clay Center"," NE","CO11D1119",1,18,18,39,2176,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","CO11D1119",1,18,18,39,2176,"HT",78
2014,"University of Nebraska","Clay Center"," NE","CO11D1125",1,18,18,40,2177,"YLD",4889
2014,"University of Nebraska","Clay Center"," NE","CO11D1125",1,18,18,40,2177,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","CO11D1125",1,18,18,40,2177,"HT",84
2014,"University of Nebraska","Clay Center"," NE","CO11D1127",1,18,18,38,2175,"YLD",3329
2014,"University of Nebraska","Clay Center"," NE","CO11D1127",1,18,18,38,2175,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","CO11D1127",1,18,18,38,2175,"HT",84
2014,"University of Nebraska","Clay Center"," NE","CO11D1140",1,10,10,35,2092,"YLD",3692
2014,"University of Nebraska","Clay Center"," NE","CO11D1140",1,10,10,35,2092,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","CO11D1140",1,10,10,35,2092,"HT",80
2014,"University of Nebraska","Clay Center"," NE","CO11D1156",1,10,10,37,2094,"YLD",3410
2014,"University of Nebraska","Clay Center"," NE","CO11D1156",1,10,10,37,2094,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","CO11D1156",1,10,10,37,2094,"HT",86
2014,"University of Nebraska","Clay Center"," NE","CO11D1159",1,10,10,34,2091,"YLD",3551
2014,"University of Nebraska","Clay Center"," NE","CO11D1159",1,10,10,34,2091,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","CO11D1159",1,10,10,34,2091,"HT",80
2014,"University of Nebraska","Clay Center"," NE","CO11D1174",1,9,9,40,2087,"YLD",3262
2014,"University of Nebraska","Clay Center"," NE","CO11D1174",1,9,9,40,2087,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","CO11D1174",1,9,9,40,2087,"HT",82
2014,"University of Nebraska","Clay Center"," NE","CO11D1182",1,9,9,38,2085,"YLD",3948
2014,"University of Nebraska","Clay Center"," NE","CO11D1182",1,9,9,38,2085,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","CO11D1182",1,9,9,38,2085,"HT",82
2014,"University of Nebraska","Clay Center"," NE","CO11D1186",1,9,9,39,2086,"YLD",3578
2014,"University of Nebraska","Clay Center"," NE","CO11D1186",1,9,9,39,2086,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","CO11D1186",1,9,9,39,2086,"HT",82
2014,"University of Nebraska","Clay Center"," NE","CO11D1190",1,9,9,41,2088,"YLD",4136
2014,"University of Nebraska","Clay Center"," NE","CO11D1190",1,9,9,41,2088,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","CO11D1190",1,9,9,41,2088,"HT",84
2014,"University of Nebraska","Clay Center"," NE","CO11D1213",1,20,20,41,2198,"YLD",3524
2014,"University of Nebraska","Clay Center"," NE","CO11D1213",1,20,20,41,2198,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","CO11D1213",1,20,20,41,2198,"HT",84
2014,"University of Nebraska","Clay Center"," NE","CO11D1219",1,20,20,40,2197,"YLD",2448
2014,"University of Nebraska","Clay Center"," NE","CO11D1219",1,20,20,40,2197,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","CO11D1219",1,20,20,40,2197,"HT",86
2014,"University of Nebraska","Clay Center"," NE","CO11D1221",1,20,20,43,2200,"YLD",3934
2014,"University of Nebraska","Clay Center"," NE","CO11D1221",1,20,20,43,2200,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","CO11D1221",1,20,20,43,2200,"HT",78
2014,"University of Nebraska","Clay Center"," NE","CO11D1231",1,20,20,42,2199,"YLD",3349
2014,"University of Nebraska","Clay Center"," NE","CO11D1231",1,20,20,42,2199,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","CO11D1231",1,20,20,42,2199,"HT",84
2014,"University of Nebraska","Clay Center"," NE","CO11D1236",1,7,7,41,2068,"YLD",5030
2014,"University of Nebraska","Clay Center"," NE","CO11D1236",1,7,7,41,2068,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","CO11D1236",1,7,7,41,2068,"HT",84
2014,"University of Nebraska","Clay Center"," NE","CO11D1240",1,7,7,40,2067,"YLD",4196
2014,"University of Nebraska","Clay Center"," NE","CO11D1240",1,7,7,40,2067,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","CO11D1240",1,7,7,40,2067,"HT",72
2014,"University of Nebraska","Clay Center"," NE","CO11D1248",1,7,7,38,2065,"YLD",4586
2014,"University of Nebraska","Clay Center"," NE","CO11D1248",1,7,7,38,2065,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","CO11D1248",1,7,7,38,2065,"HT",92
2014,"University of Nebraska","Clay Center"," NE","CO11D1268",1,7,7,39,2066,"YLD",5050
2014,"University of Nebraska","Clay Center"," NE","CO11D1268",1,7,7,39,2066,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","CO11D1268",1,7,7,39,2066,"HT",82
2014,"University of Nebraska","Clay Center"," NE","CO11D1287",1,8,8,39,2076,"YLD",3389
2014,"University of Nebraska","Clay Center"," NE","CO11D1287",1,8,8,39,2076,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","CO11D1287",1,8,8,39,2076,"HT",78
2014,"University of Nebraska","Clay Center"," NE","CO11D1298",1,8,8,40,2077,"YLD",2798
2014,"University of Nebraska","Clay Center"," NE","CO11D1298",1,8,8,40,2077,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","CO11D1298",1,8,8,40,2077,"HT",84
2014,"University of Nebraska","Clay Center"," NE","CO11D1302W",1,8,8,38,2075,"YLD",3759
2014,"University of Nebraska","Clay Center"," NE","CO11D1302W",1,8,8,38,2075,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","CO11D1302W",1,8,8,38,2075,"HT",84
2014,"University of Nebraska","Clay Center"," NE","CO11D1312",1,8,8,41,2078,"YLD",4566
2014,"University of Nebraska","Clay Center"," NE","CO11D1312",1,8,8,41,2078,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","CO11D1312",1,8,8,41,2078,"HT",82
2014,"University of Nebraska","Clay Center"," NE","CO11D1315W",1,19,19,43,2190,"YLD",2885
2014,"University of Nebraska","Clay Center"," NE","CO11D1315W",1,19,19,43,2190,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","CO11D1315W",1,19,19,43,2190,"HT",72
2014,"University of Nebraska","Clay Center"," NE","CO11D1316W",1,19,19,40,2187,"YLD",3336
2014,"University of Nebraska","Clay Center"," NE","CO11D1316W",1,19,19,40,2187,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","CO11D1316W",1,19,19,40,2187,"HT",76
2014,"University of Nebraska","Clay Center"," NE","CO11D1322",1,19,19,41,2188,"YLD",2656
2014,"University of Nebraska","Clay Center"," NE","CO11D1322",1,19,19,41,2188,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","CO11D1322",1,19,19,41,2188,"HT",72
2014,"University of Nebraska","Clay Center"," NE","CO11D1341",1,19,19,42,2189,"YLD",3907
2014,"University of Nebraska","Clay Center"," NE","CO11D1341",1,19,19,42,2189,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","CO11D1341",1,19,19,42,2189,"HT",78
2014,"University of Nebraska","Clay Center"," NE","CO11D1353",1,2,2,37,2014,"YLD",4264
2014,"University of Nebraska","Clay Center"," NE","CO11D1353",1,2,2,37,2014,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","CO11D1353",1,2,2,37,2014,"HT",86
2014,"University of Nebraska","Clay Center"," NE","CO11D1371",1,2,2,39,2016,"YLD",3779
2014,"University of Nebraska","Clay Center"," NE","CO11D1371",1,2,2,39,2016,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","CO11D1371",1,2,2,39,2016,"HT",84
2014,"University of Nebraska","Clay Center"," NE","CO11D1380",1,2,2,36,2013,"YLD",3793
2014,"University of Nebraska","Clay Center"," NE","CO11D1380",1,2,2,36,2013,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","CO11D1380",1,2,2,36,2013,"HT",82
2014,"University of Nebraska","Clay Center"," NE","CO11D1397",1,2,2,38,2015,"YLD",3638
2014,"University of Nebraska","Clay Center"," NE","CO11D1397",1,2,2,38,2015,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","CO11D1397",1,2,2,38,2015,"HT",80
2014,"University of Nebraska","Clay Center"," NE","CO11D1409",1,2,2,40,2017,"YLD",3652
2014,"University of Nebraska","Clay Center"," NE","CO11D1409",1,2,2,40,2017,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","CO11D1409",1,2,2,40,2017,"HT",92
2014,"University of Nebraska","Clay Center"," NE","CO11D1414",1,2,2,42,2019,"YLD",4223
2014,"University of Nebraska","Clay Center"," NE","CO11D1414",1,2,2,42,2019,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","CO11D1414",1,2,2,42,2019,"HT",88
2014,"University of Nebraska","Clay Center"," NE","CO11D1418",1,2,2,41,2018,"YLD",4781
2014,"University of Nebraska","Clay Center"," NE","CO11D1418",1,2,2,41,2018,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","CO11D1418",1,2,2,41,2018,"HT",76
2014,"University of Nebraska","Clay Center"," NE","CO11D1431",1,2,2,43,2020,"YLD",4479
2014,"University of Nebraska","Clay Center"," NE","CO11D1431",1,2,2,43,2020,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","CO11D1431",1,2,2,43,2020,"HT",76
2014,"University of Nebraska","Clay Center"," NE","CO11D1539",1,3,3,37,2024,"YLD",4385
2014,"University of Nebraska","Clay Center"," NE","CO11D1539",1,3,3,37,2024,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","CO11D1539",1,3,3,37,2024,"HT",90
2014,"University of Nebraska","Clay Center"," NE","CO11D1542",1,3,3,39,2026,"YLD",4607
2014,"University of Nebraska","Clay Center"," NE","CO11D1542",1,3,3,39,2026,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","CO11D1542",1,3,3,39,2026,"HT",88
2014,"University of Nebraska","Clay Center"," NE","CO11D1543",1,3,3,36,2023,"YLD",3638
2014,"University of Nebraska","Clay Center"," NE","CO11D1543",1,3,3,36,2023,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","CO11D1543",1,3,3,36,2023,"HT",92
2014,"University of Nebraska","Clay Center"," NE","CO11D1545",1,3,3,38,2025,"YLD",4365
2014,"University of Nebraska","Clay Center"," NE","CO11D1545",1,3,3,38,2025,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","CO11D1545",1,3,3,38,2025,"HT",86
2014,"University of Nebraska","Clay Center"," NE","CO11D1555W",1,17,17,40,2167,"YLD",3672
2014,"University of Nebraska","Clay Center"," NE","CO11D1555W",1,17,17,40,2167,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","CO11D1555W",1,17,17,40,2167,"HT",76
2014,"University of Nebraska","Clay Center"," NE","CO11D1559",1,17,17,43,2170,"YLD",3248
2014,"University of Nebraska","Clay Center"," NE","CO11D1559",1,17,17,43,2170,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","CO11D1559",1,17,17,43,2170,"HT",74
2014,"University of Nebraska","Clay Center"," NE","CO11D1584",1,17,17,42,2169,"YLD",2858
2014,"University of Nebraska","Clay Center"," NE","CO11D1584",1,17,17,42,2169,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","CO11D1584",1,17,17,42,2169,"HT",82
2014,"University of Nebraska","Clay Center"," NE","CO11D1600W",1,17,17,41,2168,"YLD",3672
2014,"University of Nebraska","Clay Center"," NE","CO11D1600W",1,17,17,41,2168,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","CO11D1600W",1,17,17,41,2168,"HT",78
2014,"University of Nebraska","Clay Center"," NE","CO11D1615",1,15,15,40,2147,"YLD",3941
2014,"University of Nebraska","Clay Center"," NE","CO11D1615",1,15,15,40,2147,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","CO11D1615",1,15,15,40,2147,"HT",70
2014,"University of Nebraska","Clay Center"," NE","CO11D1620",1,15,15,42,2149,"YLD",3632
2014,"University of Nebraska","Clay Center"," NE","CO11D1620",1,15,15,42,2149,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","CO11D1620",1,15,15,42,2149,"HT",76
2014,"University of Nebraska","Clay Center"," NE","CO11D1631",1,15,15,41,2148,"YLD",3517
2014,"University of Nebraska","Clay Center"," NE","CO11D1631",1,15,15,41,2148,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","CO11D1631",1,15,15,41,2148,"HT",80
2014,"University of Nebraska","Clay Center"," NE","CO11D1633",1,15,15,43,2150,"YLD",3416
2014,"University of Nebraska","Clay Center"," NE","CO11D1633",1,15,15,43,2150,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","CO11D1633",1,15,15,43,2150,"HT",82
2014,"University of Nebraska","Clay Center"," NE","CO11D1642",1,15,15,39,2146,"YLD",3053
2014,"University of Nebraska","Clay Center"," NE","CO11D1642",1,15,15,39,2146,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","CO11D1642",1,15,15,39,2146,"HT",78
2014,"University of Nebraska","Clay Center"," NE","CO11D1644",1,15,15,36,2143,"YLD",2919
2014,"University of Nebraska","Clay Center"," NE","CO11D1644",1,15,15,36,2143,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","CO11D1644",1,15,15,36,2143,"HT",80
2014,"University of Nebraska","Clay Center"," NE","CO11D1645",1,15,15,38,2145,"YLD",3309
2014,"University of Nebraska","Clay Center"," NE","CO11D1645",1,15,15,38,2145,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","CO11D1645",1,15,15,38,2145,"HT",82
2014,"University of Nebraska","Clay Center"," NE","CO11D1647",1,15,15,37,2144,"YLD",3712
2014,"University of Nebraska","Clay Center"," NE","CO11D1647",1,15,15,37,2144,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","CO11D1647",1,15,15,37,2144,"HT",76
2014,"University of Nebraska","Clay Center"," NE","CO11D1654",1,11,11,35,2102,"YLD",3705
2014,"University of Nebraska","Clay Center"," NE","CO11D1654",1,11,11,35,2102,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","CO11D1654",1,11,11,35,2102,"HT",72
2014,"University of Nebraska","Clay Center"," NE","CO11D1656",1,11,11,36,2103,"YLD",3026
2014,"University of Nebraska","Clay Center"," NE","CO11D1656",1,11,11,36,2103,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","CO11D1656",1,11,11,36,2103,"HT",74
2014,"University of Nebraska","Clay Center"," NE","CO11D1657",1,11,11,37,2104,"YLD",3403
2014,"University of Nebraska","Clay Center"," NE","CO11D1657",1,11,11,37,2104,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","CO11D1657",1,11,11,37,2104,"HT",78
2014,"University of Nebraska","Clay Center"," NE","CO11D1665",1,11,11,34,2101,"YLD",3235
2014,"University of Nebraska","Clay Center"," NE","CO11D1665",1,11,11,34,2101,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","CO11D1665",1,11,11,34,2101,"HT",74
2014,"University of Nebraska","Clay Center"," NE","CO11D1686",1,1,1,41,2008,"YLD",4492
2014,"University of Nebraska","Clay Center"," NE","CO11D1686",1,1,1,41,2008,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","CO11D1686",1,1,1,41,2008,"HT",78
2014,"University of Nebraska","Clay Center"," NE","CO11D1715",1,1,1,39,2006,"YLD",3665
2014,"University of Nebraska","Clay Center"," NE","CO11D1715",1,1,1,39,2006,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","CO11D1715",1,1,1,39,2006,"HT",80
2014,"University of Nebraska","Clay Center"," NE","CO11D1731",1,1,1,40,2007,"YLD",3948
2014,"University of Nebraska","Clay Center"," NE","CO11D1731",1,1,1,40,2007,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","CO11D1731",1,1,1,40,2007,"HT",76
2014,"University of Nebraska","Clay Center"," NE","CO11D1746",1,1,1,38,2005,"YLD",3410
2014,"University of Nebraska","Clay Center"," NE","CO11D1746",1,1,1,38,2005,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","CO11D1746",1,1,1,38,2005,"HT",86
2014,"University of Nebraska","Clay Center"," NE","CO11D1758W",1,17,17,36,2163,"YLD",2919
2014,"University of Nebraska","Clay Center"," NE","CO11D1758W",1,17,17,36,2163,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","CO11D1758W",1,17,17,36,2163,"HT",76
2014,"University of Nebraska","Clay Center"," NE","CO11D1767",1,17,17,37,2164,"YLD",3248
2014,"University of Nebraska","Clay Center"," NE","CO11D1767",1,17,17,37,2164,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","CO11D1767",1,17,17,37,2164,"HT",76
2014,"University of Nebraska","Clay Center"," NE","CO11D1789",1,17,17,35,2162,"YLD",2307
2014,"University of Nebraska","Clay Center"," NE","CO11D1789",1,17,17,35,2162,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","CO11D1789",1,17,17,35,2162,"HT",78
2014,"University of Nebraska","Clay Center"," NE","CO11D1799",1,17,17,34,2161,"YLD",3127
2014,"University of Nebraska","Clay Center"," NE","CO11D1799",1,17,17,34,2161,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","CO11D1799",1,17,17,34,2161,"HT",80
2014,"University of Nebraska","Clay Center"," NE","CT103",1,13,13,39,2126,"YLD",3120
2014,"University of Nebraska","Clay Center"," NE","CT103",1,13,13,39,2126,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","CT103",1,13,13,39,2126,"HT",74
2014,"University of Nebraska","Clay Center"," NE","CT110",1,14,14,39,2136,"YLD",2535
2014,"University of Nebraska","Clay Center"," NE","CT110",1,14,14,39,2136,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","CT110",1,14,14,39,2136,"HT",82
2014,"University of Nebraska","Clay Center"," NE","CT111",1,14,14,42,2139,"YLD",3524
2014,"University of Nebraska","Clay Center"," NE","CT111",1,14,14,42,2139,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","CT111",1,14,14,42,2139,"HT",76
2014,"University of Nebraska","Clay Center"," NE","CT112",1,14,14,43,2140,"YLD",2192
2014,"University of Nebraska","Clay Center"," NE","CT112",1,14,14,43,2140,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","CT112",1,14,14,43,2140,"HT",74
2014,"University of Nebraska","Clay Center"," NE","CT115",1,13,13,42,2129,"YLD",3107
2014,"University of Nebraska","Clay Center"," NE","CT115",1,13,13,42,2129,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","CT115",1,13,13,42,2129,"HT",78
2014,"University of Nebraska","Clay Center"," NE","CT125",1,13,13,41,2128,"YLD",3309
2014,"University of Nebraska","Clay Center"," NE","CT125",1,13,13,41,2128,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","CT125",1,13,13,41,2128,"HT",76
2014,"University of Nebraska","Clay Center"," NE","CT135",1,14,14,40,2137,"YLD",2818
2014,"University of Nebraska","Clay Center"," NE","CT135",1,14,14,40,2137,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","CT135",1,14,14,40,2137,"HT",78
2014,"University of Nebraska","Clay Center"," NE","CT154",1,14,14,34,2131,"YLD",1688
2014,"University of Nebraska","Clay Center"," NE","CT154",1,14,14,34,2131,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","CT154",1,14,14,34,2131,"HT",70
2014,"University of Nebraska","Clay Center"," NE","CT163",1,14,14,38,2135,"YLD",2058
2014,"University of Nebraska","Clay Center"," NE","CT163",1,14,14,38,2135,"TW",NA
2014,"University of Nebraska","Clay Center"," NE","CT163",1,14,14,38,2135,"HT",78
2014,"University of Nebraska","Clay Center"," NE","CT185",1,13,13,37,2124,"YLD",3504
2014,"University of Nebraska","Clay Center"," NE","CT185",1,13,13,37,2124,"TW",NA
