YEAR,PROGRAM,STUDY,DESCRIPTION,DESIGN,LOC,VAR,TYPE,REP,BLOCK,PLOT,ROW,COL,TWT,YIELD,PLTHT,NOTES
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CO11D1647,plot,1,16,2159,16,39,812,5319,34.65,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CO11D1654,plot,1,1,2004,1,34,778,4835,32.28,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CO11D1656,plot,1,1,2003,1,33,779,3719,27.56,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CO11D1657,plot,1,1,2002,1,32,741,4028,31.5,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CO11D1665,plot,1,1,2001,1,31,790,3477,29.92,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CO11D1686,plot,1,3,2021,3,31,764,2690,33.07,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CO11D1715,plot,1,3,2024,3,34,793,4479,33.07,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CO11D1731,plot,1,3,2022,3,32,794,3329,31.5,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CO11D1746,plot,1,3,2023,3,33,787,4734,33.86,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CO11D1758W,plot,1,4,2031,4,31,796,2791,32.28,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CO11D1767,plot,1,4,2034,4,34,746,4701,31.5,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CO11D1789,plot,1,4,2033,4,33,738,3551,33.86,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CO11D1799,plot,1,4,2032,4,32,760,4512,33.46,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CT103,plot,1,21,3103,21,33,814,4190,37.8,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CT110,plot,1,22,3118,22,38,716,2986,35.43,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CT111,plot,1,22,3112,22,32,776,4089,33.86,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CT112,plot,1,21,3110,21,40,761,2878,32.28,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CT115,plot,1,22,3119,22,39,780,4075,36.22,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CT125,plot,1,22,3117,22,37,759,3342,35.43,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CT135,plot,1,21,3106,21,36,782,4109,29.13,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CT154,plot,1,21,3104,21,34,737,3188,29.13,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CT163,plot,1,21,3102,21,32,681,2293,31.5,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CT185,plot,1,21,3101,21,31,792,3786,37.8,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CT194,plot,1,21,3109,21,39,737,4539,33.07,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CT199,plot,1,22,3114,22,34,781,4048,33.07,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CT213,plot,1,21,3108,21,38,780,4761,35.43,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CT224,plot,1,21,3105,21,35,773,3268,33.07,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CT237,plot,1,22,3120,22,40,766,3961,29.92,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CT30,plot,1,22,3115,22,35,785,2730,29.13,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CT38,plot,1,22,3113,22,33,805,4082,32.28,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CT64,plot,1,21,3107,21,37,786,4391,32.28,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CT69,plot,1,22,3116,22,36,802,3974,37.8,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",CT95,plot,1,22,3111,22,31,798,4210,32.28,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",GOODSYN12,plot,1,17,2165,17,35,810,4687,40.94,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",GOODSYN17,plot,1,17,2166,17,36,794,4580,44.88,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",GOODSYN23,plot,1,1,2005,1,35,780,4613,39.37,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",GOODSYN28,plot,1,1,2006,1,36,803,3948,37.8,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",GOODSYN35,plot,1,16,2156,16,36,793,5172,42.13,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",GOODSYN37,plot,1,16,2155,16,35,771,3598,43.31,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",GOODSYN43,plot,1,7,2069,7,39,788,4452,43.31,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",GOODSYN44,plot,1,7,2070,7,40,794,4230,44.09,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",GOODSYN5,plot,1,17,2161,17,31,800,3282,45.67,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",GOODSYN51,plot,1,18,2174,18,34,796,4950,40.94,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",GOODSYN58,plot,1,18,2173,18,33,813,5454,35.43,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",GOODSYN61,plot,1,16,2152,16,32,785,4250,40.94,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",GOODSYN62,plot,1,16,2151,16,31,794,3342,40.16,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",GOODSYN72,plot,1,7,2066,7,36,786,4748,41.73,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",GOODSYN8,plot,1,17,2162,17,32,787,4714,47.24,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",GOODSYN80,plot,1,7,2065,7,35,795,4613,45.67,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",GOODSYN82,plot,1,2,2020,2,40,801,4122,40.16,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",GOODSYN88,plot,1,2,2019,2,39,805,4311,41.34,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",HW_124,plot,1,13,2124,13,34,770,5071,37.8,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",HW_132,plot,1,13,2126,13,36,717,4022,37.8,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",HW_133,plot,1,14,2140,14,40,729,4203,33.07,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",HW_141,plot,1,14,2138,14,38,763,4829,33.86,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",HW_155,plot,1,13,2122,13,32,760,5010,40.55,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",HW_174,plot,1,14,2132,14,32,780,4714,30.71,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",HW_175,plot,1,13,2128,13,38,755,4909,35.43,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",HW_182,plot,1,13,2125,13,35,738,4741,33.86,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",HW_237,plot,1,14,2137,14,37,767,4708,32.28,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",HW_240,plot,1,14,2136,14,36,784,4539,32.28,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",HW_246,plot,1,13,2127,13,37,746,4270,38.58,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",HW_256,plot,1,13,2129,13,39,768,5165,32.28,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",HW_261,plot,1,13,2121,13,31,762,3571,33.86,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",HW_266,plot,1,14,2139,14,39,767,5219,33.07,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",HW_267,plot,1,13,2130,13,40,716,4096,39.37,
2014,University of Nebraska,YldQtl-Val_2014_Lincoln,"Yield QTL Validation, Yield QTL Validation,",CRD,"Lincoln, NE",HW_29,plot,1,14,2134,14,34,741,4042,35.43,
